Model,User_ID,Mean_User_Accuracy,Sample_Count,Folds_Processed
DummyClassifier,65,0.12466281310211946,866,5
DummyClassifier,14,0.11124913733609385,809,5
DummyClassifier,97,0.18930677782924193,1273,5
DummyClassifier,50,0.11182557280118255,823,5
DummyClassifier,88,0.18843924758515507,1401,5
DummyClassifier,35,0.1767599953911741,1318,5
DummyClassifier,92,0.12040065681444992,872,5
DummyClassifier,74,0.13107944616211858,862,5
DummyClassifier,11,0.10299771474660573,864,5
DummyClassifier,30,0.1,850,5
DummyClassifier,55,0.11436825617821093,848,5
DummyClassifier,24,0.12388177339901478,872,5
DummyClassifier,41,0.10495437696036498,838,5
DummyClassifier,99,0.10173410404624277,865,5
DummyClassifier,60,0.1917644683374978,1408,5
DummyClassifier,86,0.18310615448161918,1349,5
DummyClassifier,5,0.11290279715633514,868,5
DummyClassifier,64,0.10351708074534163,802,5
DummyClassifier,82,0.18941769015298426,1362,5
DummyClassifier,1,0.12783868181516178,868,5
DummyClassifier,20,0.19327247879116063,1392,5
DummyClassifier,45,0.1862045847193213,1391,5
DummyClassifier,34,0.12422360248447203,805,5
DummyClassifier,89,0.12285714285714286,871,5
DummyClassifier,96,0.11100821018062397,874,5
DummyClassifier,70,0.18771987798678189,1401,5
DummyClassifier,15,0.19192291306418063,1412,5
Logit_L2,91,0.6556962025316457,790,5
Logit_L2,52,0.5376579520697167,677,5
Logit_L2,36,0.530232558139535,645,5
Logit_L2,58,0.8472923147828091,1316,5
Logit_L2,4,0.8652398299939283,1217,5
Logit_L2,21,0.656511160478155,687,5
Logit_L2,71,0.8184666210982,661,5
Logit_L2,51,0.76823610941258,1109,5
Logit_L2,19,0.686576907384741,858,5
Logit_L2,27,0.6601979066566243,1389,5
Logit_L2,42,0.6827586206896552,870,5
Logit_L2,63,0.8817615658362989,1404,5
Logit_L2,85,0.8258108795119472,1401,5
Logit_L2,6,0.8464788732394366,1420,5
Logit_L2,38,0.7294117647058824,850,5
Logit_L2,49,0.7714949143131168,1409,5
Logit_L2,77,0.894187465911747,1389,5
Logit_L2,12,0.6541568189491728,1388,5
Logit_L2,33,0.7395319162179826,1267,5
Logit_L2,56,0.7238871654281798,833,5
Logit_L2,68,0.7842857142857143,1400,5
Logit_L2,37,0.6745580268035357,839,5
Logit_L2,9,0.6147192118226601,872,5
Logit_L2,95,0.6842518059855521,852,5
Logit_L2,73,0.8556105951152391,852,5
Logit_L2,28,0.6725146198830408,855,5
Logit_L2,16,0.8262125063548551,1404,5
Logit_L2,67,0.8011428571428573,875,5
Logit_L2,59,0.5271493212669683,848,5
