feature,channel,category,importance_median,importance_mean,importance_norm_median,importance_norm_mean,rank,in_top_n,in_final_set,decision,replaced_by
ch11_thresh3-events,ch11,Thresh,0.0030733082311824,0.0032800705500078,0.188115254014192,0.1907902657492366,117,0,0,DROP,
ch08_fft-halfwidth,ch08,FFT,0.0030662776923884,0.0032873530066425,0.1876849191790215,0.1912138608565554,118,0,0,DROP,
ch04_fft-peakfreq,ch04,FFT,0.0030389001710239,0.0030690667127163,0.1860091584032206,0.1785169083390281,119,0,0,DROP,
ch09_fft-halfwidth,ch09,FFT,0.0030163205597005,0.0031769314348481,0.1846270746679935,0.1847910230834305,120,0,0,DROP,
ch13_thresh3-events,ch13,Thresh,0.0030030345884049,0.0033735599888911,0.1838138487638276,0.1962282203960526,121,0,0,DROP,
ch10_fft-halfwidth,ch10,FFT,0.0029729623235616,0.0030999098332272,0.1819731444431891,0.1803109451041168,122,0,0,DROP,
ch11_fft-halfwidth,ch11,FFT,0.0029592936669644,0.0031282750623936,0.1811364946136261,0.181960851570517,123,0,0,DROP,
ch05_fft-peakfreq,ch05,FFT,0.002954514437444,0.0030051993861928,0.1808439609959111,0.1748019686710125,124,0,0,DROP,
ch02_thresh3-events,ch02,Thresh,0.0028986555564419,0.0034306975974443,0.1774248742014159,0.199551715837364,125,0,0,DROP,
ch15_thresh3-events,ch15,Thresh,0.0028790552234116,0.0033095665773743,0.1762251502071359,0.1925059468036535,126,0,0,DROP,
ch06_fft-peakfreq,ch06,FFT,0.0028669536002247,0.0028845766187221,0.1754844175020084,0.1677857629186429,127,0,0,DROP,
ch08_thresh3-events,ch08,Thresh,0.002861787254379,0.0030966843259774,0.1751681887387383,0.1801233285952725,128,0,0,DROP,
ch14_thresh3-events,ch14,Thresh,0.0028065153831391,0.0030731651205385,0.1717850324407,0.1787552984302228,129,0,0,DROP,
ch02_fft-peakfreq,ch02,FFT,0.0026821654866182,0.0026896713883954,0.1641736538834428,0.1564488053370876,130,0,0,DROP,
ch01_thresh3-events,ch01,Thresh,0.0026610555050295,0.0029626966267579,0.1628815252552441,0.1723297313687874,131,0,0,DROP,
ch07_fft-peakfreq,ch07,FFT,0.0026243662045765,0.0027202706884157,0.1606357963679497,0.1582286599144838,132,0,0,DROP,
ch10_fft-peakfreq,ch10,FFT,0.0025522254877621,0.0026141612187541,0.156220108696078,0.152056642085413,133,0,0,DROP,
ch03_fft-peakfreq,ch03,FFT,0.0025495429008334,0.0028045908492058,0.1560559092459879,0.1631332696293924,134,0,0,DROP,
ch12_fft-peakfreq,ch12,FFT,0.0024942706891865,0.0025320406902417,0.1526727321118531,0.14727997730962,135,0,0,DROP,
ch00_thresh3-events,ch00,Thresh,0.0024940848222552,0.0030110961086518,0.1526613553144875,0.1751449604536148,136,0,0,DROP,
ch08_fft-peakfreq,ch08,FFT,0.0024914217340672,0.0025002000850518,0.1524983493699946,0.1454279203391401,137,0,0,DROP,
ch01_fft-peakfreq,ch01,FFT,0.0024669973985555,0.0025339023518921,0.1510033512333614,0.1473882636759008,138,0,0,DROP,
ch15_fft-peakfreq,ch15,FFT,0.0024535489032166,0.0026792834160836,0.150180177335238,0.1558445732122734,139,0,0,DROP,
ch06_fft-lowfreq,ch06,FFT,0.0024479809363548,0.0024805208559961,0.1498393656034652,0.1442832482096786,140,0,0,DROP,
ch11_fft-peakfreq,ch11,FFT,0.0024478961237101,0.0025147997578413,0.1498341742751003,0.1462771323938508,141,0,0,DROP,
ch07_fft-lowfreq,ch07,FFT,0.0024374631143913,0.0025667488543925,0.1491955763700048,0.1492988301852042,142,0,0,DROP,
ch03_fft-lowfreq,ch03,FFT,0.0024232477807066,0.0024849883716612,0.1483254647815036,0.1445431080169564,143,0,0,DROP,
ch00_fft-peakfreq,ch00,FFT,0.0024171767707527,0.0025464384175096,0.1479538621000604,0.1481174428975551,144,0,0,DROP,
ch04_fft-lowfreq,ch04,FFT,0.0023989196973095,0.0024457113083429,0.1468363581759559,0.1422584982092973,145,0,0,DROP,
ch14_fft-peakfreq,ch14,FFT,0.0023899569196568,0.0024588845620891,0.146287752221727,0.1430247404424179,146,0,0,DROP,
ch05_fft-lowfreq,ch05,FFT,0.002388390677289,0.0024978123377951,0.1461918835165071,0.1452890334076887,147,0,0,DROP,
ch09_fft-peakfreq,ch09,FFT,0.0023823957333553,0.0024391977396252,0.1458249367880813,0.141879626630877,148,0,0,DROP,
ch13_fft-peakfreq,ch13,FFT,0.0023191867708108,0.0024069772970347,0.1419559561487835,0.1400054758433581,149,0,0,DROP,
ch02_fft-lowfreq,ch02,FFT,0.002224268793539,0.0023752337737285,0.1361460867631367,0.138159065787517,150,0,0,DROP,
ch01_fft-lowfreq,ch01,FFT,0.0022038221058378,0.0022466160332229,0.1348945579344863,0.130677820333492,151,0,0,DROP,
ch09_fft-lowfreq,ch09,FFT,0.0020711237852134,0.0020586328118776,0.1267721776153735,0.119743491876202,152,0,0,DROP,
ch15_fft-lowfreq,ch15,FFT,0.0020624684598664,0.0022004234599775,0.1262423906224215,0.1279909594288947,153,0,0,DROP,
ch08_fft-lowfreq,ch08,FFT,0.0020314200389089,0.0022250382105932,0.1243419364031166,0.1294227136365354,154,0,0,DROP,
ch14_fft-lowfreq,ch14,FFT,0.0020313710215478,0.0020486623253577,0.1243389360814351,0.1191635434440661,155,0,0,DROP,
ch12_fft-lowfreq,ch12,FFT,0.0020245479068508,0.0020989535859057,0.1239212975441167,0.1220888106962546,156,0,0,DROP,
ch00_fft-lowfreq,ch00,FFT,0.0020208857822537,0.0021330875424763,0.1236971412125713,0.1240742639192578,157,0,0,DROP,
ch11_fft-lowfreq,ch11,FFT,0.0020052852804769,0.0021080455707631,0.122742244360794,0.1226176597501673,158,0,0,DROP,
ch10_fft-lowfreq,ch10,FFT,0.0020000983486301,0.0021446185293967,0.1224247555414096,0.1247449812179712,159,0,0,DROP,
ch13_fft-lowfreq,ch13,FFT,0.0019477855191641,0.001989328971932,0.1192227203197744,0.1157123291804409,160,0,0,DROP,
ch05_rms,ch05,RMS,0.0163373685312656,0.0171920225443731,1.0,1.0,1,1,1,KEEP,
ch04_rms,ch04,RMS,0.0161001380368452,0.016798314120693,0.9854792714036924,0.9770993539204624,2,1,1,KEEP,
ch03_maxabs,ch03,Max,0.0123160601978359,0.0135272096230068,0.7538582590131387,0.786830612168675,7,1,1,KEEP,
ch06_rms,ch06,RMS,0.0118397414045376,0.0131675476059744,0.7247030867841004,0.7659103268384265,9,1,1,KEEP,
ch10_rms,ch10,RMS,0.0109008897922017,0.0118234143296777,0.6672365730956132,0.6877267813697396,12,1,1,KEEP,
ch07_mav,ch07,MAV,0.0099017086609443,0.0110114786741497,0.6060773276917243,0.6404993156406582,19,1,1,KEEP,
ch15_rms,ch15,RMS,0.0096331960736191,0.0101293274380049,0.5896418419639375,0.5891876544403554,22,1,1,KEEP,
ch14_rms,ch14,RMS,0.0096191597847262,0.0102672366104498,0.5887826895939577,0.597209350089542,23,1,1,KEEP,
ch13_rms,ch13,RMS,0.0094432520946657,0.0100718761776521,0.5780154910868159,0.5858459149676143,24,1,1,KEEP,
ch08_rms,ch08,RMS,0.0093163523752783,0.0101703463708011,0.5702480394837864,0.5915735827213543,26,1,1,KEEP,
ch12_rms,ch12,RMS,0.0091327256008529,0.0101907643415076,0.5590083607023494,0.5927612248765334,28,1,1,KEEP,
ch02_rms,ch02,RMS,0.0088542333627768,0.0102361428394552,0.541962026860818,0.5954007338598706,29,1,1,KEEP,
ch09_maxabs,ch09,Max,0.0088018542852965,0.0091075556304273,0.5387559366401038,0.5297547514796737,31,1,1,KEEP,
ch05_thresh2-events,ch05,Thresh,0.008301232870908,0.0099608301204109,0.5081132163372324,0.5793867530537316,37,1,1,KEEP,
ch11_fft-maxpower,ch11,FFT,0.0081954818221446,0.0088724221784438,0.5016402614937973,0.5160778585267559,38,1,1,KEEP,
ch09_fft-maxpower,ch09,FFT,0.0081522243531428,0.0087429426930663,0.4989924991617542,0.5085464883785792,39,1,1,KEEP,
ch03_fft-maxpower,ch03,FFT,0.0081373625009046,0.0092469121322546,0.4980828145812921,0.5378606332319573,40,1,1,KEEP,
ch04_thresh2-events,ch04,Thresh,0.0078055563738518,0.0107995675988278,0.4777731712982995,0.6281731873579065,42,1,1,KEEP,
ch11_maxabs,ch11,Max,0.0077306722429009,0.0084550693469145,0.4731895609814026,0.4918018996945673,45,1,1,KEEP,
ch01_maxabs,ch01,Max,0.0074987515183441,0.0079468214384754,0.4589938400418317,0.4622388912045926,51,1,1,KEEP,
ch06_thresh2-events,ch06,Thresh,0.0074946100617147,0.0083085461459307,0.4587403440995997,0.4832791560438031,52,1,1,KEEP,
ch07_maxabs,ch07,Max,0.0072478407284213,0.0081175910554137,0.443635749205924,0.4721719643201953,55,1,1,KEEP,
ch00_rms,ch00,RMS,0.00724684867234,0.0078157393841135,0.4435750260803247,0.4546143052070169,56,1,1,KEEP,
ch01_mav,ch01,MAV,0.0067273812426961,0.0071235265114202,0.4117787530973312,0.4143506962624204,64,1,1,KEEP,
ch03_thresh2-events,ch03,Thresh,0.0055542210404127,0.0080617919171684,0.3399703587382113,0.4689263230292224,68,1,1,KEEP,
ch04_thresh3-events,ch04,Thresh,0.0049747976181633,0.006096122566183,0.3045042173494964,0.3545901914942683,69,1,1,KEEP,
ch07_thresh2-events,ch07,Thresh,0.0048596933392394,0.0054831622261444,0.2974587572006614,0.3189364260076008,70,1,1,KEEP,
ch06_fft-highfreq,ch06,FFT,0.0047149095866168,0.0050722289416468,0.288596635228846,0.2950338698402279,71,1,1,KEEP,
ch05_thresh3-events,ch05,Thresh,0.0046123523556905,0.0053245214547974,0.2823191719562221,0.3097088455447676,72,1,1,KEEP,
ch05_fft-highfreq,ch05,FFT,0.0046031594870581,0.0051581889467639,0.2817564822785772,0.3000338635812338,73,1,1,KEEP,
ch14_thresh2-events,ch14,Thresh,0.0044981920799683,0.004433888174359,0.2753314936466048,0.2579038134061928,74,1,1,KEEP,
ch02_thresh2-events,ch02,Thresh,0.0044293822886674,0.0055624420549393,0.2711196898197378,0.3235478571868175,75,1,1,KEEP,
ch13_thresh2-events,ch13,Thresh,0.0043651002323867,0.0048031620389246,0.2671850257912108,0.2793831863893593,76,1,1,KEEP,
ch04_fft-highfreq,ch04,FFT,0.0043605577287419,0.0046845006040393,0.2669069820146927,0.272481064513993,77,1,1,KEEP,
ch07_fft-highfreq,ch07,FFT,0.0042901631097269,0.0045078962258117,0.2625981718853094,0.2622086036809647,78,1,1,KEEP,
ch12_thresh2-events,ch12,Thresh,0.0042474874802902,0.0049288877611776,0.2599860235852343,0.2866962132265728,79,1,1,KEEP,
ch10_thresh2-events,ch10,Thresh,0.00418186197126,0.0048368199036531,0.2559691276631837,0.2813409470101128,80,1,1,KEEP,
