feature,channel,category,importance_median,importance_mean,importance_norm_median,importance_norm_mean,rank,in_top_n,in_final_set,decision,replaced_by
ch01_fft-highfreq,ch01,FFT,0.0036711457685812765,0.003699840960636655,0.22860189110596815,0.21600906436505873,96,0,0,DROP,
ch15_thresh2-events,ch15,Thresh,0.0036682678438645544,0.003950184211568238,0.2284226830128617,0.23062493893349775,97,0,0,DROP,
ch04_fft-halfwidth,ch04,FFT,0.003612176905735063,0.003959555416502595,0.2249299057333409,0.23117206115615008,98,0,0,DROP,
ch12_fft-highfreq,ch12,FFT,0.0036103834579832256,0.003610079607150816,0.2248182279157019,0.21076849694907962,99,0,0,DROP,
ch09_fft-highfreq,ch09,FFT,0.0036039010735610093,0.0036472028733288623,0.22441457046617297,0.2129358771361228,100,0,0,DROP,
ch00_thresh2-events,ch00,Thresh,0.0035860627865785064,0.004335371345976632,0.22330378206512644,0.25311344949225917,101,0,0,DROP,
ch02_fft-halfwidth,ch02,FFT,0.00356745719994518,0.0036375266598890504,0.22214521398920992,0.2123709474988849,102,0,0,DROP,
ch15_fft-halfwidth,ch15,FFT,0.003554475008154284,0.003602455461536892,0.2213368141649648,0.21032337388077255,103,0,0,DROP,
ch11_fft-highfreq,ch11,FFT,0.0034917668286566176,0.0035788242470749863,0.21743198190696408,0.20894370470579052,104,0,0,DROP,
ch08_fft-highfreq,ch08,FFT,0.0034529935673238248,0.003901026690003651,0.21501757468269095,0.22775495874985108,105,0,0,DROP,
ch14_fft-halfwidth,ch14,FFT,0.0033894515223664642,0.0033808125315545902,0.21106081770335514,0.19738311984337503,106,0,0,DROP,
ch10_fft-highfreq,ch10,FFT,0.0033694499857444557,0.0036112541037558415,0.2098153239569754,0.21083706798103766,107,0,0,DROP,
ch01_fft-halfwidth,ch01,FFT,0.00332600449240505,0.0034607319314684764,0.20710997729860559,0.20204908116000547,108,0,0,DROP,
ch00_fft-halfwidth,ch00,FFT,0.0033136648930641574,0.003378051946238954,0.20634159164392532,0.1972219476585501,109,0,0,DROP,
ch09_fft-halfwidth,ch09,FFT,0.0032850919570721854,0.00336514121966136,0.20456235768974243,0.19646817634838568,110,0,0,DROP,
ch11_fft-halfwidth,ch11,FFT,0.0032544547867523668,0.0032417573611930807,0.2026545840640842,0.18926461486857069,111,0,0,DROP,
